enlace,me_gusta,Publicacion,descripcion,ID_Comentario,Usuario,Texto_Comentario,Cantidad_Likes,Tema_Principal,Sentimiento,Subtema_o_Keyword,Es_Respuesta_A
,,123,,C10,usuario_critico,Y subieron de precio las papeletas para evitar accidentes y el tiempo demuestra que solo fue para sacar plata. En Perú la educación es bajísima.,1,Crítica Social,Negativo/Indignación,"Multas, Educación Vial, Corrupción",-
,,123,,C11,usuario_expresivo,🥶💀,3,Reacción al Audio,Positivo/Humor,"Emojis Mixtos, Música",-
https://www.instagram.com/p/DMwBykvK7Ss/,997,124,"¡San Marcos hizo historia en el 204.º Aniversario de la Independencia del Perú! 🇵🇪

Tras seis años, nuestra Universidad Nacional Mayor de San Marcos participó nuevamente en la Gran Parada y Desfile Cívico-Militar, representando con orgullo a todas las universidades del país.

Con una delegación de 119 personas, encabezada por decanos y estudiantes, San Marcos fue la única universidad pública presente, reafirmando su compromiso con los valores patrios y la construcción de un Perú democrático.

¡Orgullo sanmarquino, siempre presente en los momentos más trascendentales del Perú! 🎓🎉",C1,sihomaochoa,Esoooo 🔝,3,Apoyo General,Positivo/Entusiasmo,"Aprobación, Orgullo",-
,,124,,C2,edithcanelo_h,Bravísimo👏👏,1,Elogio,Positivo/Aprobación,"Reconocimiento, Felicitaciones",-
,,124,,C3,jheslynlagos,👏👏👏👏.... 🎊🎉🎊🎊🥳🥳🥳,0,Celebración,Positivo/Festejo,"Emojis Festivos, Aplauso",-
,,124,,C4,usuario_aleatorio,👏🏻👏🏻👏🏻,0,Aplauso,Positivo/Aprobación,Aplauso,-
,,124,,C5,fan_sanmarcos,Pongan papel en los baños ps,40,Queja sobre Infraestructura,Negativo/Sarcasmo,"Baños, Papel Higiénico",-
,,124,,C6,usuario_defensor,@hillarykkkkk La que no tiene el nivel para ingresar ni lo tendrá:,0,Respuesta Agresiva,Negativo/Descalificación,"Ataque Personal, Nivel Académico",C5
,,124,,C7,usuario_desestimador,Ya mijo ya,4,Respuesta Minimizadora,Negativo/Sarcasmo,Desestimar Queja,C5
,,124,,C8,usuario_insistente,Ya pero que pongan papel ps,3,Insistencia en Queja,Negativo/Queja,"Reiterar Demanda, Papel",C5
,,124,,C9,usuario_risa,"@hillarykkkkk, 😂😂😂😂",0,Reacción de Risa,Positivo/Diversión,"Risa, Apoyo a Broma",C5
,,124,,C10,usuario_bromista,"@hillarykkkkk, más que seguro, uno de los estudiantes usan mucho😂😂😂",0,Broma,Positivo/Humor,"Consumo de Papel, Broma",C5
,,124,,C11,usuario_risa2,😂😂😂😂,0,Reacción de Risa,Positivo/Diversión,Risa General,-
,,124,,C12,usuario_aplaudidor,👏👏👏👏👏,0,Aplauso,Positivo/Aprobación,Aplauso,-
,,124,,C13,usuario_risa3,😂,6,Reacción de Risa,Positivo/Diversión,Risa,-
,,124,,C14,usuario_bendicion,Felicitaciones querida Casa de estudios..... bendiciones,1,Felicitación Formal,Positivo/Respeto,"Bendiciones, Reconocimiento",-
https://www.instagram.com/p/DMtN90AvnLm/?img_index=1,7531,125,"🎖️🇵🇪 ¡𝐒𝐚𝐧 𝐌𝐚𝐫𝐜𝐨𝐬 𝐫𝐞𝐠𝐫𝐞𝐬𝐚 𝐜𝐨𝐧 𝐨𝐫𝐠𝐮𝐥𝐥𝐨 𝐚 𝐥𝐚 𝐆𝐫𝐚𝐧 𝐏𝐚𝐫𝐚𝐝𝐚 𝐲 𝐃𝐞𝐬𝐟𝐢𝐥𝐞 𝐂𝐢́𝐯𝐢𝐜𝐨-𝐌𝐢𝐥𝐢𝐭𝐚𝐫! 🎖️🇵🇪

Después de seis años, una delegación de la 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐝𝐚𝐝 𝐍𝐚𝐜𝐢𝐨𝐧𝐚𝐥 𝐌𝐚𝐲𝐨𝐫 𝐝𝐞 𝐒𝐚𝐧 𝐌𝐚𝐫𝐜𝐨𝐬 volvió a participar en la 𝐆𝐫𝐚𝐧 𝐏𝐚𝐫𝐚𝐝𝐚 𝐲 𝐃𝐞𝐬𝐟𝐢𝐥𝐞 𝐂𝐢́𝐯𝐢𝐜𝐨-𝐌𝐢𝐥𝐢𝐭𝐚𝐫, en conmemoración del 𝟐𝟎𝟒.º 𝐀𝐧𝐢𝐯𝐞𝐫𝐬𝐚𝐫𝐢𝐨 𝐝𝐞 𝐥𝐚 𝐈𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧𝐜𝐢𝐚 𝐝𝐞𝐥 𝐏𝐞𝐫𝐮́.

👩‍🎓 La rectora de la UNMSM, 𝐝𝐫𝐚. 𝐉𝐞𝐫𝐢 𝐑𝐚𝐦𝐨́𝐧 𝐑𝐮𝐟𝐟𝐧𝐞𝐫, presenció el desfile desde la tribuna de invitados especiales.

🎓 La delegación sanmarquina estuvo conformada por 𝟏𝟏𝟗 𝐩𝐞𝐫𝐬𝐨𝐧𝐚𝐬, entre estudiantes y decanos de diversas facultades, quienes —con paso marcial y el corazón henchido de orgullo patrio— enaltecieron el nombre de la 𝐃𝐞𝐜𝐚𝐧𝐚 𝐝𝐞 𝐀𝐦𝐞́𝐫𝐢𝐜𝐚 y representaron con honor a todas las universidades del país.

👕 Los participantes lucieron un vestuario especialmente diseñado para la ocasión, con los colores representativos de la UNMSM.
👏 Su paso por la avenida Brasil fue ovacionado por las autoridades y el público presente.

𝐒𝐚𝐧 𝐌𝐚𝐫𝐜𝐨𝐬 𝐬𝐢𝐞𝐦𝐩𝐫𝐞 𝐩𝐫𝐞𝐬𝐞𝐧𝐭𝐞 𝐞𝐧 𝐥𝐨𝐬 𝐠𝐫𝐚𝐧𝐝𝐞𝐬 𝐡𝐢𝐭𝐨𝐬 𝐝𝐞 𝐥𝐚 𝐧𝐚𝐜𝐢𝐨́𝐧. 💙💛",C1,sihomaochoa,👏👏👏como egresada San Marquina nunca olvidare cuando desfilamos allá por el ano 2000. Bravo San Marcos! ❤️,2,Nostalgia Personal,Positivo/Orgullo,"Recuerdo, Experiencia Pasada",-
,,125,,C2,edithcanelo_h,"❤️👏 San Marcos es autónoma pero no puede dejar de estar presente en un desfile importante para el país porque lo que ausenta no se siente, no se ve y no se escucha. Abrazos a todos y todas. Una sanmarquina ❤️ desde Barcelona.",1,Importancia de la Presencia,Positivo/Reflexión,"Representación, Visibilidad",-
,,125,,C3,jheslynlagos,Adelante SM!!❤️,1,Aliento General,Positivo/Apoyo,Motivación,-
,,125,,C4,usuario_aleatorio,Mi alma mater !!! ❤️🙌,1,Identificación Personal,Positivo/Orgullo,"Alma Mater, Afecto",-
,,125,,C5,fan_sanmarcos,"Felicitaciones, pero a la próxima que sea una convocatoria abierta a todos los estudiantes :)",100,Sugerencia/Crítica,Neutral/Constructivo,"Transparencia, Inclusividad",-
,,125,,C6,usuario_corazon,❤️❤️❤️,1,Reacción General,Positivo/Afecto,Emoción,-
,,125,,C7,usuario_aplauso1,👏👏👏,1,Aplauso,Positivo/Aprobación,Reconocimiento,-
,,125,,C8,usuario_aplauso2,👏👏,1,Aplauso,Positivo/Aprobación,Reconocimiento,-
,,125,,C9,usuario_consultante,¿Por qué no invitaron al Decano de la Facultad de Medicina?🤔,100,Crítica/Consulta,Neutral/Escepticismo,"Exclusión, Decano de Medicina",-
,,125,,C10,usuario_acusador,"A doña Jerí no le sirve la gente que no se arrodilla frente a ella , por eso no lo invitaron, ojalá que no sigan borrando los comentarios.",60,Acusación Política,Negativo/Denuncia,"Autoritarismo, Censura",-
,,125,,C11,id_sanfernandina,@id_sanfernandina confirmo están borrando muchos comentarios donde se pedía que para la siguiente parada militar se active una convocatoria general,21,Confirmación de Acusación,Negativo/Denuncia,"Censura, Convocatoria General",C10
,,125,,C12,guevaraivan_,@id_sanfernandina Enserio¿¿,0,Solicitud de Confirmación,Neutral/Incredulidad,"Pregunta, Confirmación",C11
,,125,,C13,usuario_curioso,@id_sanfernandina Contexto porfavor,0,Solicitud de Contexto,Neutral/Consulta,"Pregunta, Explicación",C11
,,125,,C14,usuario_afirmacion,Solo han ido autoridades afines a Jeri.,5,Afirmación de Crítica,Negativo/Acusación,"Parcialidad, Grupos de Poder",-
,,125,,C15,usuario_bromista,"@id_sanfernandina jajaja si del carmen es pata de niño, que pasó? No le sirve esa amistad?😢",1,Broma/Comentario Político,Positivo/Sarcasmo,"Relaciones Personales, Sátira",C11
,,125,,C16,usuario_advertencia,"JAJJAJA no van a borrar tu comentario créeme, y más cuando dices ese tipo de cosas , que suerte!",0,Comentario sobre Moderación,Neutral/Advertencia,"Censura, Ironía",C10
,,125,,C17,usuario_corazon2,♥️♥️♥️♥️♥️♥️,2,Reacción General,Positivo/Afecto,Emoción,-
,,125,,C18,usuario_orgulloso,❤️ALMA MATER💯♥️🇵🇪,1,Identificación Patriótica,Positivo/Orgullo,"Alma Mater, Patriotismo",-
,,125,,C19,usuario_critico2,Solo llamaron a sus chupes o cómo fue la convocatoria?,25,Crítica/Consulta,Negativo/Escepticismo,"Nepotismo, Transparencia",-
,,125,,C20,usuario_aplauso3,👏👏👏,1,Aplauso,Positivo/Aprobación,Reconocimiento,-
,,125,,C21,usuario_constructivo,Les falto ensayo pero muy bien chicos,1,Crítica Constructiva,Positivo/Aliento,"Preparación, Desempeño",-
,,125,,C22,usuario_defensa,"Estábamos desde las 3, 4 am despiertos para ir a sm😢 de ahí ir a la parada militar.... Nosé si usted aguantaría",0,Defensa del Esfuerzo,Negativo/Queja,"Esfuerzo, Sacrificio",-
,,125,,C23,usuario_despectivo,Desfile de operadores,7,Comentario Despectivo,Negativo/Desprecio,"Parcialidad, ""Operadores""",-
https://www.instagram.com/p/DMp0afps1FG/?img_index=1,3020,126,"🇵🇪 ¡𝐅𝐞𝐥𝐢𝐳 𝟐𝟖 𝐝𝐞 𝐣𝐮𝐥𝐢𝐨, 𝐏𝐞𝐫𝐮́! 🇵🇪
Hoy celebramos 𝟐𝟎𝟒 𝐚𝐧̃𝐨𝐬 𝐝𝐞 𝐢𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧𝐜𝐢𝐚, recordando con orgullo a los grandes artífices de esta magna hazaña; 𝐉𝐨𝐬𝐞́ 𝐝𝐞 𝐒𝐚𝐧 𝐌𝐚𝐫𝐭𝐢́𝐧, 𝐒𝐢𝐦𝐨́𝐧 𝐁𝐨𝐥𝐢́𝐯𝐚𝐫 y 𝐀𝐧𝐭𝐨𝐧𝐢𝐨 𝐉𝐨𝐬𝐞́ 𝐝𝐞 𝐒𝐮𝐜𝐫𝐞, entre otros grandes patriotas cuyas acciones valientes y visión de libertad nos marcaron para siempre.

A su lado, 𝐢𝐧𝐭𝐞𝐥𝐞𝐜𝐭𝐮𝐚𝐥𝐞𝐬 𝐬𝐚𝐧𝐦𝐚𝐫𝐪𝐮𝐢𝐧𝐨𝐬 como 𝐇𝐢𝐩𝐨́𝐥𝐢𝐭𝐨 𝐔𝐧𝐚𝐧𝐮𝐞, 𝐅𝐫𝐚𝐧𝐜𝐢𝐬𝐜𝐨 𝐉𝐚𝐯𝐢𝐞𝐫 𝐝𝐞 𝐋𝐮𝐧𝐚 𝐏𝐢𝐳𝐚𝐫𝐫𝐨, 𝐉𝐨𝐬𝐞́ 𝐒𝐚́𝐧𝐜𝐡𝐞𝐳 𝐂𝐚𝐫𝐫𝐢𝐨́𝐧 y 𝐌𝐚𝐧𝐮𝐞𝐥 𝐋𝐨𝐫𝐞𝐧𝐳𝐨 𝐝𝐞 𝐕𝐢𝐝𝐚𝐮𝐫𝐫𝐞 pusieron la pluma, el pensamiento y la acción al servicio de la naciente República.

Desde la 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐝𝐚𝐝 𝐍𝐚𝐜𝐢𝐨𝐧𝐚𝐥 𝐌𝐚𝐲𝐨𝐫 𝐝𝐞 𝐒𝐚𝐧 𝐌𝐚𝐫𝐜𝐨𝐬, nos unimos al homenaje eterno a nuestra república por sus 204 aniversario de fundación.

¡𝐕𝐢𝐯𝐚 𝐞𝐥 𝐏𝐞𝐫𝐮́! ¡𝐕𝐢𝐯𝐚 𝐥𝐚 𝐢𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧𝐜𝐢𝐚! ¡𝐕𝐢𝐯𝐚 𝐒𝐚𝐧 𝐌𝐚𝐫𝐜𝐨𝐬! 🎓✨",C1,sihomaochoa,El gran Bolivar 🔥,0,Elogio a Figura Histórica,Positivo/Admiración,Simón Bolívar,-
,,126,,C2,edithcanelo_h,❤️,0,Reacción General,Positivo/Afecto,Emoción,-
,,126,,C3,jheslynlagos,❤️🤍❤️🇵🇪🙌,0,Celebración Patriótica,Positivo/Orgullo,"Patriotismo, Colores Nacionales",-
,,126,,C4,usuario_aleatorio,"Bolívar no fue libertador en Perú, fue conquistador; no es igual",0,Reinterpretación Histórica,Neutral/Correctivo,"Rol de Bolívar, Crítica Histórica",-
,,126,,C5,fan_sanmarcos,Unidos por siempre 🇵🇪🇻🇪🇦🇷🫂,1,Unidad Latinoamericana,Positivo/Fraternidad,Integración Regional,-
,,126,,C6,usuario_corazon,❤️❤️❤️❤️❤️❤️,0,Reacción General,Positivo/Afecto,Emoción,-
,,126,,C7,usuario_critico,¿Lleno de oportunidades? Oportunidades para la corrupción de seguir robando. 💪🏼🤨,7,Crítica Social/Política,Negativo/Cínico,"Corrupción, Oportunismo",-
,,126,,C8,usuario_historiador,Tupac amaru debería estar ahí,2,Crítica Histórica,Neutral/Sugerencia,Inclusión de Figura Histórica,-
,,126,,C9,usuario_observador,"Faltan las imágenes de nuestros próceres y precursores de la Independencia, aquellos artífices que abrieron paso para la revolución.",4,Crítica al Contenido,Neutral/Constructivo,Representación Histórica,-
,,126,,C10,usuario_neutro,-_-,0,Reacción General,Neutral/Indiferencia,Desaprobación Silenciosa,-
,,126,,C11,usuario_tecnologico,Cuando preguntas a chat GPT confirma que realmente liberó a Perú fue Simón Bolívar. 🇻🇪🙌🏻,0,Afirmación con Fuente,Positivo/Confirmación,"Inteligencia Artificial, Validación",-
,,126,,C12,usuario_despectivo,sobra Bolívar,1,Crítica a Figura Histórica,Negativo/Rechazo,Exclusión de Bolívar,-
,,126,,C13,usuario_activista,#AguaditoNuncaMás #ITomaNuncaMás #ParoNuncaMás #TraiciónALaPatriaNuncaMás #IzquierdaFarsante #IzquierdaNuncaMás #Agenda2030NuncaMás #Agenda2050NuncaMás #TerrorismoNuncaMás #IzquierdaMiserableYTerrorista he ahí su explicación.,1,Comentario Político/Activista,Negativo/Confrontación,"Hashtags de Protesta, Posición Ideológica",-
https://www.instagram.com/p/DMn3349P3ye/?img_index=1,1131,127,"La UNMSM ha tomado medidas claras para prevenir el hostigamiento sexual, implementando un proceso confidencial y con enfoque de derechos. ¿Conoces los pasos y medidas que han tomado? 🤔

Lee el post para conocer más y comparte tu opinión. 💬👇 #HostigamientoSexual #Prevención #UNMSM",C1,sihomaochoa,de nada sirve un reglamento si no lo cumplen,5,Crítica a la Implementación,Negativo/Escepticismo,"Incumplimiento, Reglamento",-
,,127,,C2,edithcanelo_h,"¿Y qué hay con los profesores con denuncias por hostigamiento sexual pero siguen dictando clases? ¿Entonces de qué sirve estos protocolos? Si al final el que tiene poder en la universidad, se convierte en intocable.",19,Denuncia de Impunidad,Negativo/Indignación,"Impunidad, Profesores Acusados",-
,,127,,C3,jheslynlagos,"Denuncian al profesor y ahi lo sigo viendo en el mismo lugar, dando clases ... Por favor",58,Testimonio de Impunidad,Negativo/Frustración,"Caso Específico, Falta de Acción",-
,,127,,C4,usuario_aleatorio,Muchas preocupación? Si profesores con gran poder siguen dictando vulnerando el derecho a educarse de mis y otras compañeras!,24,Crítica a la Jerarquía,Negativo/Indignación,"Abuso de Poder, Derecho a la Educación",-
,,127,,C5,fan_sanmarcos,Y que pasa cuando el profesor es nombrado sigue ahí no? No hacen nada! Y los protocolos no se ejecutan dentro de los mismos alumnos. Cual es el mecanismo de prevención. Que pasa con profesores sentenciados que aún siguen ahí?,2,Cuestionamiento a la Eficacia,Negativo/Desconfianza,"Profesores Nombrados, Ineficacia de Protocolos",-
,,127,,C6,usuario_victima,Pero a los profesores con denuncias por acoso sexual hasta clases les dan. ¿Que garantiza que esas denuncias realmente serán escuchadas?. NO HACEN NADA POR SUS ALUMNADO!,27,Descrédito de los Protocolos,Negativo/Desesperación,"Falta de Garantías, Desprotección",-
,,127,,C7,usuario_critico,"@less.0709 Y luego tienes a los borregos diciendo que al menos la Educación es Pública, Gratuita y Diversa XD",3,Crítica a los Defensores,Negativo/Sarcasmo,"Defensa Ciega, Ironía",C6
,,127,,C8,usuario_impacto,en 60 días esa persona pudo haber acosado a más estudiantes,13,Crítica a la Demora,Negativo/Preocupación,"Lentitud de Procesos, Reincidencia",-
,,127,,C9,usuario_realista,Para que si se sabe que los profesores nombrados no los toca nadie.,17,Afirmación de Impunidad,Negativo/Resignación,Impunidad Estructural,-
,,127,,C10,usuario_reflexivo,"Se difunden protocolos para denunciar hostigamiento, pero persiste la sensación de que las estructuras que lo permiten no cambian. ¿Llamadas de atención? Parece que la impunidad se ha vuelto tan cotidiana que cuesta saber qué tan grave debe ser algo para que realmente sea atendido.",9,Análisis Estructural,Negativo/Reflexión,"Cultura de Impunidad, Cambio Estructural",-
,,127,,C11,usuario_distraido,LA MÚSICA WN JJAAJAJJJAJAJAJA,0,Reacción al Audio,Positivo/Diversión,Banda Sonora Inapropiada,-
,,127,,C12,usuario_contraargumento,Y que hacer cuando se desvirtua el proceso con fines ulteriores?,1,Cuestionamiento a Mal Uso,Neutral/Consulta,"Abuso del Proceso, Falsas Denuncias",-
,,127,,C13,usuario_directo,"Los acosadores son sus propios profesores y alumnos ,déjense de hipocresías",2,Acusación Directa,Negativo/Enfado,"Acusación General, Hipocresía",-
https://www.instagram.com/p/DMnm42zpbVJ/,187,128,"🎓✨ 𝐃𝐞 𝐌𝐞́𝐱𝐢𝐜𝐨 🇲🇽 𝐚 𝐥𝐚 𝐃𝐞𝐜𝐚𝐧𝐚 𝐝𝐞 𝐀𝐦𝐞́𝐫𝐢𝐜𝐚.
Valeria Ortiz, estudiante de la Universidad de Guadalajara, nos cuenta su experiencia de intercambio en la UNMSM. Superó retos y encontró nuevas oportunidades.

💡 ¡Una decisión que cambió su vida!

\#IntercambioUNMSM",,,,,,,,
https://www.instagram.com/p/DMkr2eSRxYl/?img_index=1,916,129,"🪐 La Prof. María Luisa Aguilar en la Feria Internacional del Libro de Lima @filibro.lima 🇵🇪 • Por el astrónomo Victor Vera @astro.vvera 🔭

📚 Ver la finura del Fondo Editorial San Marcos @unmsm_ al agregar en su stand la fotografía de la primera persona peruana en convertirse en astrónomo profesional, imprime una satisfacción grande de que el trabajo realizado por #SPACE_UNMSM va mucho más allá de lo científico y académico, y se sumerge profundamente también en lo social …

🔗 Leer el comentario completo en nuestro Facebook.

#unmsm #astronomíaperuana #spaceunmsm
@astronomy.pe",C1,sihomaochoa,"Mis aplausos, Victor Vera 👏👏👏👏",0,Elogio Personal,Positivo/Admiración,Reconocimiento a Víctor Vera,-
,,129,,C2,edithcanelo_h,El Prof. Vera siempre en todo. Larga vida al mejor astrónomo peruano,1,Elogio y Deseos,Positivo/Respeto,"Reconocimiento, Larga Vida",-
,,129,,C3,jheslynlagos,@vicky_donaj todo un crack! Si hay astronomía en Peru es gracias a Victor,0,Elogio y Atribución,Positivo/Admiración,"Contribución a la Astronomía, Mención",-
,,129,,C4,usuario_aleatorio,👏👏,1,Aplauso,Positivo/Aprobación,Reconocimiento,-
https://www.instagram.com/p/DMiq47AP-GP/?img_index=1,1713,130,"🚍 “Lima necesita un sistema de transporte público intermodal que conecte de forma eficiente todos sus servicios: metro, corredores, buses y más”, propone el ingeniero Jim Rivera Vidal, experto en vías y docente sanmarquino.

El tráfico en la capital es uno de los mayores retos urbanos. ¿Podría un plan maestro integral ser la clave para una movilidad ordenada y sostenible? 🌆🤔

Te leemos en los comentarios. ¿Qué opinas sobre el futuro del transporte en Lima?

#TransporteLima #MovilidadUrbana #IngenieríaSanmarquina #DebateCiudadano",C1,sihomaochoa,Vamos de paseo tititi 🗣️🗣️🗣️,4,Comentario Jocoso,Positivo/Diversión,"Frase Coloquial, Broma",-
,,130,,C2,edithcanelo_h,Quiero conocer al CM y al SMM día 30,3,Deseo Personal,Positivo/Curiosidad,"Conocer al Equipo, Fecha Específica",-
,,130,,C3,jheslynlagos,"También me gustaría que plantearán una solución para cambiar de rector, digo no?",2,Crítica Política,Negativo/Sarcasmo,"Liderazgo Universitario, Cambio",-
,,130,,C4,usuario_aleatorio,Siempre será una utopía mientras el transporte informal haga lo que se le de la gana,1,Pesimismo Realista,Negativo/Resignación,"Transporte Informal, Obstáculo",-
,,130,,C5,fan_sanmarcos,Saneen los predios para las otras líneas de metro. Mínimo,0,Sugerencia Concreta,Neutral/Propuesta,"Infraestructura, Metro",-
,,130,,C6,usuario_simple,Ta.,0,Reacción Minimalista,Neutral/Indiferencia,Aprobación Breve,-
,,130,,C7,usuario_formal,Ese tipo de música le quita toda la seriedad a la publicación. No parece la universidad más antigua de América.....,0,Crítica al Estilo,Negativo/Formalidad,"Banda Sonora, Imagen Institucional",-
,,130,,C8,usuario_nostalgico,Lo único que tienen que implementar son el regreso de los tranvías 🚈🚈🚈 a la Ciudad de Lima,5,Propuesta Nostálgica,Positivo/Sugerencia,"Tranvías, Solución Histórica",-
,,130,,C9,usuario_pesimista,En 100 años Será mientras haiga corrupcion no se hace nada tienen cortar desde la raiz,2,Pesimismo y Crítica,Negativo/Frustración,"Corrupción, Obstáculo Estructural",-
,,130,,C10,usuario_risa,Ese CM 🤣,1,Reacción al CM,Positivo/Diversión,"Administrador de Contenido, Risa",-
,,130,,C11,usuario_afectado,"Lo que demoraría 10 minutos demora 40, por eso siempre llego tarde",1,Queja Personal,Negativo/Frustración,"Experiencia de Usuario, Ineficiencia",-
,,130,,C12,usuario_risa2,🤣🤣🤣,0,Reacción de Risa,Positivo/Diversión,Risa General,-
https://www.instagram.com/p/DMg1_bLNbDh/?img_index=1,499,131,"En San Marcos, entendemos que la identidad no es solo un legado del pasado, sino algo que construimos día a día. 🌎

¿Qué significa para ti ser peruano con identidad y resiliencia? ¿Cómo contribuyes tú a transformar nuestra realidad y la de nuestra sociedad? 🤔

Para nosotros, estudiar es una manera de honrar lo nuestro, respetar nuestras raíces y, juntos, construir el país desde las aulas. 🇵🇪

Orgullo, honestidad y solidaridad: esos son los valores con los que hacemos patria. 💪

Queremos saber tu opinión. ¿Cómo defines tú lo que significa ser peruano en este momento? ¡Déjanos tu comentario! 👇

#IdentidadPeruana #OrgulloPeruano #UNMSM",C1,sihomaochoa,"Exacto es amar al país no solo con palabras sino con ACCIONES JUSTAS, POSITIVAS que enriquezcan el bienestar colectivo.",2,Llamado a la Acción,Positivo/Reflexivo,"Coherencia, Bien Común",-
,,131,,C2,edithcanelo_h,"bonito decirlo, fácil seguir siendo incoherentes.",5,Crítica a la Hipocresía,Negativo/Irónico,"Incoherencia, Crítica Institucional",-
,,131,,C3,jheslynlagos,hay un poco de publicación en tu ia,9,Acusación de Uso de IA,Negativo/Sarcasmo,"Contenido Artificial, Autenticidad",-
,,131,,C4,usuario_aleatorio,Jajajjaja que graciosos hablando de antivalores mientras son cómplices del actual gobierno y con actos cuestionables como la supuesta contratación de matones para sacar a los estudiantes que realizaron la toma por inconsistencias en las elecciones del nuevo rector,0,Acusación Política Severa,Negativo/Denuncia,"Complicidad Gubernamental, Violencia Estudiantil",-
https://www.instagram.com/p/DMeV6K0tpf6/,663,132,"🌍 ¡Peñico: el nuevo tesoro arqueológico del Perú! 🏛️

A solo 12 km de Caral, la civilización más antigua de América, se descubrió Peñico, un centro urbano de hace más de 3800 años. Con relictos únicos, como el Salón ceremonial de los pututus y ofrendas rituales, ¡un legado que continúa fascinando al mundo! 🔍✨ #Peñico #ArqueologíaPerú #PatrimonioHistórico",C1,sihomaochoa,👏🔥,0,Reacción General,Positivo/Entusiasmo,"Aplauso, Aprobación",-
,,132,,C2,edithcanelo_h,😍🔥,1,Reacción General,Positivo/Admiración,"Emoción, Entusiasmo",-
,,132,,C3,jheslynlagos,😍,0,Reacción General,Positivo/Admiración,Emoción,-
https://www.instagram.com/p/DMbyKjGN4za/,4769,133,"🚀 ¡Inscríbete ahora en Aulas Abiertas de la UNMSM! 🎓

¿Te interesa la inteligencia artificial o la ciberseguridad? La Facultad de Ingeniería de Sistemas e Informática ofrece clases magistrales ¡totalmente gratuitas! 💻✨

Accede a contenido de posgrado, aprende con expertos y recibe certificado al finalizar. ¡No te lo pierdas! 🏅

📲 Inscríbete y comienza tu viaje hacia el futuro tecnológico. ¡Es tu oportunidad! 🎯

👉🏽Inscríbete aquí: https://forms.gle/qWc1jUpEJJPkmL5B6",C1,sihomaochoa,"Les dejamos en las historias, el enlace 🔗 para inscribirse.",5,Información Administrativa,Neutral/Informativo,"Link de Inscripción, Historias",-
,,133,,C2,edithcanelo_h,@unmsm_ por favor enviar el link.,1,Solicitud de Link,Neutral/Solicitud,Pedir Enlace Directo,-
,,133,,C3,jheslynlagos,Link?,0,Solicitud de Link,Neutral/Consulta,Pregunta por Enlace,-
,,133,,C4,usuario_aleatorio,Me interesa,0,Expresión de Interés,Positivo/Interés,Interés en el Curso,-
,,133,,C5,fan_sanmarcos,¿Se va a grabar? Para los que no estamos en horario local,0,Consulta sobre Formato,Neutral/Consulta,"Grabación, Flexibilidad Horaria",-
,,133,,C6,estudiante_tardio,Me puedo. Inscribir aun,0,Consulta sobre Plazo,Neutral/Consulta,Plazo de Inscripción,-
,,133,,C7,usuario_tecnico,"Me pueden pasar el link Pliss, no me permite el ingreso",0,Problema Técnico,Negativo/Solicitud,"Error de Link, Ayuda",-
,,133,,C8,usuario_informado,Son cursos MOOC 👍,0,Aclaración de Tipo,Neutral/Informativo,Modalidad MOOC,-
,,133,,C9,usuario_social,@samuel.rs4 @anapaulanovoa98,0,Mención a Usuarios,Neutral/Compartir,Recomendación a Amigos,-
,,133,,C10,usuario_problema,"Hola, no funciona el link de inscripción 😱",0,Reporte de Error,Negativo/Preocupación,Link No Funciona,-
,,133,,C11,usuario_ayudante,Link https://forms.gle/qWc1jUpEJJPkmL5B6,3,Proporcionar Link,Positivo/Útil,Compartir Enlace Funcional,-
,,133,,C12,usuario_etiquetador,@s_velayarce,1,Mención a Usuario,Neutral/Compartir,Recomendación Personal,-
,,133,,C13,usuario_curioso,Que temas serán?,0,Consulta sobre Contenido,Neutral/Curiosidad,Temario del Curso,-
,,133,,C14,usuario_frustrado,No puedo ingresar al link de inscripción,0,Problema de Acceso,Negativo/Frustración,Dificultad Técnica,-
,,133,,C15,usuario_reportador,No abre el link...,0,Reporte de Error,Negativo/Queja,Link Inaccesible,-
,,133,,C16,usuario_reportador2,No funciona el link,0,Reporte de Error,Negativo/Queja,Link No Funciona,-
,,133,,C17,usuario_etiquetador2,@palmiraisern,0,Mención a Usuario,Neutral/Compartir,Recomendación,-
https://www.instagram.com/p/DMbMRJJO2EQ/,452,134,"📚✨ El Fondo Editorial UNMSM participa en la vigésima novena Feria Internacional del Libro de Lima (FIL Lima 2025) con más de 12 nuevos títulos impresos 📖 y hasta 30% de descuento en libros seleccionados🎓.
Su director, Luis Alberto Suárez, destacó la importancia de la Colección Siembra Tesis Sanmarquinas 🌱📚, que reúne las tesis más sobresalientes de pregrado y posgrado 🧠.
El stand rinde homenaje a Mario Vargas Llosa 📝📘 y busca fortalecer el vínculo con autores ✍️ y lectores 👀. ✨ ¡Haz clic y descubre más novedades.",,,,,,,,
